Tariff Band,Feeder,Minimum Duration of Supply (Hrs/Day),Average Frequency of Interruptions Per Day,Average Duration of Interruptions,Average Response time to calls,Average Response time to resolving complaints
C,11-LambeINJ-T1-Matogun,13:00,6.72,7:29:11,0:01:00,7:29:11
C,11-YusufINJ-T1-Yusuf,13:00,5.72,6:13:08,0:01:00,6:13:08
C,11-SaboINJ-T1-Lasunwon,13:00,5.72,6:09:36,0:01:00,6:09:36
C,11-SaboINJ-T2-Lagos Road,13:00,5.72,9:17:21,0:01:00,9:17:21
C,11-Ijaiye OjokoroINJ-T1-Agbado 2,13:00,6.72,5:50:07,0:01:00,5:50:07
C,11-YusufINJ-T2-Akera,13:00,6.72,13:57:05,0:01:00,13:57:05
C,11-Oke AfaINJ-T1-Bucknor,13:00,6.72,16:40:17,0:01:00,16:40:17
C,11-Akute INJ-T1-Majente,13:00,6.72,16:40:17,0:01:00,16:40:17
D,11-MongoroINJ-T1-Capitol,9:00,6.72,6:48:39,0:01:00,6:48:39
D,11-YidiINJ-T1-Opellu,9:00,6.72,8:04:05,0:01:00,8:04:05
D,11-OwutuINJ-T2-Asolo,9:00,6.72,15:38:45,0:01:00,15:38:45
D,11-New YabaINJ-T2-Jibowu,9:00,6.72,12:10:48,0:01:00,12:10:48
D,11-IgbogboINJ-T1-Ofin,9:00,5.72,9:29:59,0:01:00,9:29:59
D,11-ItireINJ-T2-Ibalex,9:00,6.72,5:15:40,0:01:00,5:15:40
D,11-Ipakodo (Ebute)INJ-T1-Abuja,9:00,6.72,7:46:34,0:01:00,7:46:34
D,11-Ipakodo (Ebute)INJ-T1-Ipakodo,9:00,6.72,8:24:15,0:01:00,8:24:15
D,11-SaboINJ-T1-Ijebu Ode,9:00,6.72,10:14:24,0:01:00,10:14:24
D,11-AlasiaINJ-T1-Alasia,9:00,6.72,9:57:00,0:01:00,9:57:00
D,11-AlasiaINJ-T1-Council,9:00,6.72,5:15:02,0:01:00,5:15:02
D,11-AlasiaINJ-T1-Owoseni,9:00,6.72,5:17:43,0:01:00,5:17:43
D,11-EkoroINJ-T1-Oke Odo,9:00,6.72,10:21:12,0:01:00,10:21:12
D,11-MafolukuINJ-T1-Makinde,9:00,5.72,15:41:00,0:01:00,15:41:00
D,11-MafolukuINJ-T1-Saubana,9:00,5.72,10:47:23,0:01:00,10:47:23
D,11-AmuwoINJ-T1-Ijesha Express,9:00,6.72,14:48:33,0:01:00,14:48:33
D,33-IkoroduTCN-AGBOWA,9:00,6.72,14:48:33,0:01:00,14:48:33
D,33-IkoroduTCN-IJEDE,9:00,1.69,7:46:02,0:01:00,7:46:02
D,33-OdogunyanTCN-AGBEDE,9:00,1.69,6:15:04,0:01:00,6:15:04
D,11-OwutuINJ-T1-Agric,9:00,5.72,6:00:54,0:01:00,6:00:54
D,11-OwutuINJ-T2-Majidun,9:00,6.72,15:11:52,0:01:00,15:11:52
D,11-IjedeINJ-T1-Gberibe,9:00,5.72,9:20:30,0:01:00,9:20:30
D,11-SaboINJ-T2-Ladega,9:00,6.72,14:48:33,0:01:00,14:48:33
D,11-EkoroINJ-T1-Ajasa,9:00,6.72,12:10:48,0:01:00,12:10:48
D,11-SaboINJ-T2-Igbogbo,9:00,6.72,10:52:33,0:01:00,10:52:33
D,11-IjedeINJ-T1-Luwasa,9:00,6.72,8:05:53,0:01:00,8:05:53
D,11-IgandoINJ-T2-Akesan,9:00,6.72,9:06:58,0:01:00,9:06:58
D,11-Oke AfaINJ-T1-Ejigbo,9:00,6.72,5:46:44,0:01:00,5:46:44
D,11-WasimiINJ-T1-Agiliti,9:00,6.72,12:10:48,0:01:00,12:10:48
D,11-NitelINJ-T1-Challenge,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-CeleINJ-Adeshina,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-AmuwoINJ-T1-Old Ojo Road,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-IgandoINJ-T2-Agric Road,9:00,6.72,16:37:00,0:01:00,16:37:00
D,11-IjegunINJ-T2-Ijegun,9:00,6.72,11:20:14,0:01:00,11:20:14
D,11-IjegunINJ-T2-Isheri Oshun,9:00,6.72,14:41:43,0:01:00,14:41:43
D,11-IjegunINJ-T1-Okerube,9:00,6.72,10:29:43,0:01:00,10:29:43
D,11-BolorunpeluINJ-T1-Abaranje,9:00,6.72,11:10:03,0:01:00,11:10:03
D,11-AbesanINJ-T1-Aboru,9:00,6.72,12:56:34,0:01:00,12:56:34
D,11-ShashaINJ-T1-Orisunbare,9:00,6.72,6:23:07,0:01:00,6:23:07
D,11-EkoroINJ-T2-Olota,9:00,6.72,5:25:54,0:01:00,5:25:54
D,11-AgegeINJ-T2-Power Line,9:00,6.72,5:04:34,0:01:00,5:04:34
D,11-EkoroINJ-T2-Agbele,9:00,6.72,4:03:48,0:01:00,4:03:48
D,11-AgegeINJ-T2-Orile Agege,9:00,6.72,5:56:22,0:01:00,5:56:22
D,11-OwutuINJ-T2-Isawo,9:00,6.72,8:23:00,0:01:00,8:23:00
D,11-IgbogboINJ-T1-Bayeku,9:00,6.72,392:41:41,0:01:00,392:41:41
D,11-IgandoINJ-T1-Egan,9:00,6.72,12:27:17,0:01:00,12:27:17
D,11-IgandoINJ-T1-New Igando,9:00,6.72,8:25:38,0:01:00,8:25:38
D,11-IgandoINJ-T1-Obadore,9:00,6.72,5:21:00,0:01:00,5:21:00
D,11-IjegunINJ-T1-Ikotun,9:00,6.72,10:00:00,0:01:00,10:00:00
D,11-Oke AfaINJ-T3-NNPC,9:00,6.72,7:03:47,0:01:00,7:03:47
D,11-New YabaINJ-T1-Fadeyi,9:00,6.72,7:42:56,0:01:00,7:42:56
D,11-IjegunINJ-T2-Pipeline,9:00,6.72,16:40:17,0:01:00,16:40:17
D,33-EjigboTCN-IJEGUN,9:00,6.72,6:48:39,0:01:00,6:48:39
D,11-SaboINJ-T2-Erunwen,9:00,6.72,9:34:30,0:01:00,9:34:30
D,11-Oke AfaINJ-T3-Ori Oke,9:00,6.72,6:15:05,0:01:00,6:15:05
D,11-Ope iluINJ-T1-Ijoko,9:00,6.72,5:29:08,0:01:00,5:29:08
D,33-OdogunyanTCN-FAKALE MAYA,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-IgandoINJ-T2-Ikotun Igando,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-EkoroINJ-T2-Ekoro,9:00,6.72,16:40:17,0:01:00,16:40:17
D,11-IsoloLocalINJ-Abimbola,9:00,6.72,21:16:48,0:01:00,21:16:48
D,33-EgbinTCN-OKE ELETU,9:00,6.72,16:40:17,0:01:00,16:40:17
E,11-IlupejuINJ-T4-Army Cant.,5:00,6.72,6:21:27,0:01:00,6:21:27
E,11-EpeINJ-T1-Water Works,5:00,6.72,5:03:08,0:01:00,5:03:08
E,11-EpeINJ-T1-Township,5:00,6.72,4:26:27,0:01:00,4:26:27
E,11-EpeINJ-T1-LASU,5:00,6.72,6:04:03,0:01:00,6:04:03
